Date,Open,High,Low,Close,Adj_Close,Volume,VWAP,Returns_Pct,Log_Returns,Dollar_Change,Intraday_Range,Intraday_Range_Pct,Predicted
2000-01-03,5.1962,5.1962,5.1884,5.191,5.191,36286,5.1919,-0.1729,-0.001731,-0.009,0.0078,0.1511,
2000-01-04,5.1084,5.1084,5.0848,5.098,5.098,35819,5.0971,-1.7916,-0.018079,-0.093,0.0236,0.4649,
2000-01-05,5.1388,5.1464,5.1388,5.1412,5.1412,38844,5.1421,0.848,0.008444,0.0432,0.0076,0.1472,
2000-01-06,5.2123,5.2291,5.2123,5.2239,5.2239,24445,5.2218,1.6076,0.015948,0.0826,0.0168,0.3225,
2000-01-07,5.2766,5.2832,5.2766,5.2779,5.2779,40020,5.2792,1.0344,0.010291,0.054,0.0066,0.1251,
2000-01-10,5.2103,5.2103,5.2018,5.2051,5.2051,34989,5.2057,-1.3802,-0.013898,-0.0728,0.0085,0.1637,
2000-01-11,5.2195,5.2692,5.2195,5.2464,5.2464,23324,5.245,0.7942,0.007911,0.0413,0.0497,0.9519,
2000-01-12,5.2317,5.2317,5.2264,5.2265,5.2265,22866,5.2282,-0.3792,-0.003799,-0.0199,0.0053,0.1021,
2000-01-13,5.1937,5.1937,5.1786,5.1864,5.1864,34122,5.1862,-0.7676,-0.007706,-0.0401,0.0151,0.2925,
2000-01-14,5.3313,5.3375,5.3313,5.3322,5.3322,36769,5.3337,2.8108,0.02772,0.1458,0.0062,0.1156,
2000-01-17,5.4183,5.4249,5.4183,5.4195,5.4195,26752,5.4209,1.6372,0.01624,0.0873,0.0066,0.121,
2000-01-18,5.3243,5.3243,5.3175,5.319,5.319,49643,5.3203,-1.8539,-0.018713,-0.1005,0.0068,0.1275,
2000-01-19,5.3443,5.3627,5.3436,5.355,5.355,23797,5.3538,0.6768,0.006746,0.036,0.0191,0.3574,
2000-01-20,5.3192,5.3192,5.3139,5.3139,5.3139,40601,5.3157,-0.767,-0.0077,-0.0411,0.0054,0.1012,
2000-01-21,5.2853,5.2853,5.2741,5.2743,5.2743,20071,5.2779,-0.7456,-0.007484,-0.0396,0.0112,0.2116,
2000-01-24,5.2788,5.3175,5.274,5.2827,5.2827,24337,5.2914,0.1593,0.001592,0.0084,0.0436,0.8265,
2000-01-25,5.3578,5.3634,5.3578,5.358,5.358,38987,5.3597,1.4254,0.014153,0.0753,0.0056,0.1045,
2000-01-26,5.3554,5.366,5.3554,5.3607,5.3607,25028,5.3607,0.0497,0.000497,0.0027,0.0107,0.1993,
2000-01-27,5.2117,5.2117,5.1945,5.203,5.203,56435,5.203,-2.941,-0.029851,-0.1577,0.0172,0.3307,
2000-01-28,5.1917,5.2105,5.1917,5.2028,5.2028,18455,5.2017,-0.0045,-4.5e-05,-0.0002,0.0189,0.3633,
2000-01-31,5.2148,5.2148,5.176,5.2088,5.2088,15795,5.1998,0.1157,0.001157,0.006,0.0388,0.75,
2000-02-01,5.1901,5.2431,5.1901,5.2072,5.2072,16404,5.2135,-0.031,-0.00031,-0.0016,0.0529,1.02,
2000-02-02,5.2923,5.3516,5.2923,5.3145,5.3145,45510,5.3194,2.06,0.020391,0.1073,0.0594,1.1215,
2000-02-03,5.3416,5.3693,5.3416,5.3548,5.3548,39887,5.3552,0.7592,0.007563,0.0403,0.0277,0.5183,
2000-02-04,5.3204,5.3204,5.3064,5.3092,5.3092,43760,5.312,-0.8517,-0.008554,-0.0456,0.014,0.2645,
2000-02-07,5.3494,5.3689,5.3494,5.3566,5.3566,23634,5.3583,0.8922,0.008882,0.0474,0.0195,0.3648,
2000-02-08,5.3103,5.3103,5.2873,5.305,5.305,24034,5.3008,-0.9635,-0.009682,-0.0516,0.023,0.4346,
2000-02-09,5.3141,5.3795,5.3141,5.3386,5.3386,33868,5.3441,0.635,0.00633,0.0337,0.0653,1.2297,
2000-02-10,5.3341,5.354,5.3341,5.3401,5.3401,33348,5.3427,0.0271,0.000271,0.0014,0.0199,0.3731,
2000-02-11,5.3519,5.3584,5.3495,5.353,5.353,26743,5.3536,0.2422,0.002419,0.0129,0.0089,0.1662,
2000-02-14,5.3331,5.3487,5.3321,5.3336,5.3336,36878,5.3382,-0.3622,-0.003628,-0.0194,0.0165,0.3104,
2000-02-15,5.3607,5.3662,5.3607,5.3608,5.3608,23437,5.3626,0.5102,0.005089,0.0272,0.0055,0.1023,
2000-02-16,5.3526,5.4488,5.3185,5.3539,5.3539,38455,5.3737,-0.1296,-0.001297,-0.0069,0.1303,2.4503,
2000-02-17,5.3307,5.4092,5.2876,5.3405,5.3405,19680,5.3458,-0.2504,-0.002507,-0.0134,0.1217,2.3009,
2000-02-18,5.2893,5.2949,5.2893,5.2896,5.2896,24962,5.2913,-0.9527,-0.009573,-0.0509,0.0056,0.1053,
2000-02-21,5.3997,5.4172,5.3997,5.4115,5.4115,54629,5.4095,2.3039,0.022778,0.1219,0.0176,0.3251,
2000-02-22,5.3112,5.3112,5.297,5.3054,5.3054,37859,5.3045,-1.9596,-0.019791,-0.106,0.0142,0.268,
2000-02-23,5.2885,5.2885,5.2832,5.2833,5.2833,37044,5.285,-0.418,-0.004189,-0.0222,0.0054,0.1019,
2000-02-24,5.3519,5.3936,5.3519,5.3667,5.3667,26702,5.3707,1.5794,0.015671,0.0834,0.0417,0.7801,
2000-02-25,5.3538,5.3538,5.3036,5.3047,5.3047,35627,5.3207,-1.1563,-0.011631,-0.0621,0.0502,0.947,
2000-02-28,5.2576,5.2576,5.2203,5.225,5.225,26490,5.2343,-1.5022,-0.015136,-0.0797,0.0374,0.7156,
2000-02-29,5.3096,5.3407,5.3096,5.3167,5.3167,43123,5.3223,1.7556,0.017404,0.0917,0.0311,0.5867,
2000-03-01,5.3732,5.4102,5.3732,5.3736,5.3736,25453,5.3857,1.0699,0.010642,0.0569,0.037,0.6884,
2000-03-02,5.3558,5.4209,5.3554,5.3851,5.3851,19345,5.3871,0.2145,0.002143,0.0115,0.0655,1.223,
2000-03-03,5.3832,5.4963,5.3684,5.427,5.427,38580,5.4306,0.7782,0.007752,0.0419,0.1279,2.3828,
2000-03-06,5.4216,5.4246,5.4051,5.4102,5.4102,18688,5.4133,-0.3101,-0.003106,-0.0168,0.0195,0.3605,
2000-03-07,5.4405,5.4705,5.4405,5.465,5.465,35201,5.4586,1.0131,0.01008,0.0548,0.03,0.5506,
2000-03-08,5.4157,5.4157,5.4066,5.4103,5.4103,20494,5.4109,-1.0007,-0.010057,-0.0547,0.0091,0.1685,
2000-03-09,5.3686,5.3686,5.3539,5.3542,5.3542,38247,5.3589,-1.037,-0.010424,-0.0561,0.0147,0.2741,
2000-03-10,5.3156,5.3156,5.2993,5.3081,5.3081,40878,5.3076,-0.8615,-0.008652,-0.0461,0.0163,0.3083,
2000-03-13,5.3487,5.3778,5.3487,5.367,5.367,26809,5.3645,1.111,0.011049,0.059,0.0291,0.5436,
2000-03-14,5.3407,5.4196,5.3407,5.3853,5.3853,21068,5.3819,0.3402,0.003396,0.0183,0.0789,1.4775,
2000-03-15,5.3546,5.3815,5.3546,5.3761,5.3761,19110,5.3707,-0.1712,-0.001714,-0.0092,0.0268,0.5009,
2000-03-16,5.3688,5.4519,5.3426,5.4168,5.4168,40113,5.4038,0.7582,0.007553,0.0408,0.1093,2.0467,
2000-03-17,5.4996,5.5181,5.4996,5.5114,5.5114,44844,5.5097,1.7452,0.017301,0.0945,0.0185,0.336,
2000-03-20,5.3803,5.3803,5.3664,5.373,5.373,51556,5.3732,-2.5114,-0.025435,-0.1384,0.0139,0.2596,
2000-03-21,5.3784,5.4181,5.3755,5.3842,5.3842,16181,5.3926,0.2089,0.002087,0.0112,0.0426,0.7919,
